2MON,Deux Montagnes
PRSM,P+R Sous-Moulin
PRTN,Printanière
PRUL,Prulay
PRVG,Veigy-Douane
PSAC,Petit-Saconnex
PSGE,Presinge
PSIE,Pont-Sierne
PSRY,Passeiry
PSSY,Peissy
PSTA,Parc Stagni
PSUD,Plein-Sud
PSUS,Peney-Dessus
PTAR,Pont-d'Arve
PTLA,Petit-Lancy
PTOU,Les Petoux
PTPE,Pont-de-Peney
PUFR,Puplinge-Frémis
PUMA,Puplinge-Mairie
PVEY,Petit-Veyrier
PVRT,Place Verte
PXPH,Palexpo-Halle 7
PXPO,Palexpo
PYMA,Pregny-Mairie
PYVI,Pregny-Village
QARV,Queue-d'Arve
QUID,Quidort
QUOA,Les Quoattes
RANN,Rte d'Annecy
RAVI,Ravières
RBAU,Rouelbeau
RCOR,Rte de Corsinge
RCPS,Rte de Compois
RDAY,Ch. de Roday
REFT,Le Renfort
RENF,Renfile
REPE,Repentance
REPU,République
RESI,Résistance
REVE,Reverdin
RFEI,Rte de Feigères
RIAN,Riant-Parc
RICH,Richelien
RIEU,Rieu
RIGO,Rigot
RIPP,Rippaz
RIVE,Rive
RLAC,Rue du Lac
RLUL,Rte de Lullier
RMOU,Rue des Mouettes
RMUG,Rue des Muguets
ROCH,Roches
ROSE,Roseraie
ROUE,Rouette
ROUS,Collège Rousseau
RPOS,Le Reposoir
RPRS,Rte de Presinge
RSMA,Rte de Saint-Maurice
RTTE,Rochette
RUNO,Russin-Noirettes
RUSS,Russin-Village
RUTH,Ruth
RVTT,Rivolette
SACO,Veyrier-Salle C.
SADN,Sauverny-Douane
SAGY,Le Saugy
SAMA,Sauverny-Martinet
SANT,St-Antoine
SARV,Saconnex-d'Arve
SAUS,Saussac
SCAS,Sous-Cassan
SCEC,Sainte-Cécile
SCHA,Seuchat
SCLO,Sainte-Clotilde
SECH,Sécheron
SEFE,Sézenove-Ferrand
SELI,Sellières
SERV,Servette
SEUJ,Seujet
SEVI,Sézenove-Village
SEYM,Seymaz
SEZG,Sézegnin
SGBO,Sergy-Bourg
SGGA,Sergy-Gare
SGNY,Ségny
SHUM,Schuman
SIER,Sierne
SIGL,SIG Lignon
SIGN,Signal
SILO,Sillons
SIMO,Sismondi
SION,Sionnet
SISM,Léonard-Sismondi
SJCE,St-Julien-Centre
SJGA,St-Julien-Gare
SJHO,St-Julien-Hôpital
SJLH,Lathoy Hameau
SJRL,Rte de Lathoy
SJSN,St-Julien SNCF
SLOU,Saut-du-Loup
SLSI,La Salésienne
SMAU,Saint-Maurice
SOCI,Contrat-Social
SOLE,Le Soleil
SORB,Sorbier
SRMA,Soral-Mairie
SRVE,Serves
SRVI,Soral-Village
SSCH,Sous-Chevrens
STAL,De-Staël
STGE,Stade de Genève
STLA,Stand de Laconnex
STLO,Saint-Loup
STND,Stand
STRC,Stade Trois-Chêne
SUMO,Sur-le-Moulin
SUSE,Susette
